pid,seller,item,price,images
1,Bentley,USB,15.78,https://png.pngtree.com/png-clipart/20190921/original/pngtree-an-electronic-usb-flash-drive-illustration-png-image_4690669.jpg
2,Tad,Monitor,89.97,https://static.vecteezy.com/system/resources/previews/009/887/131/non_2x/computer-monitor-free-png.png
3,Robert,Laptop,250.57,https://png.pngtree.com/png-clipart/20201209/original/pngtree-projector-png-image_5617462.jpg
4,ProfessorWeinstein,Projector,256.23,https://png.pngtree.com/png-clipart/20201209/original/pngtree-projector-png-image_5617462.jpg
5,Charlie,HDMI cord,6.54,https://atlas-content-cdn.pixelsquid.com/stock-images/hdmi-cable-w7akQP0-600.jpg
6,Lilert,Speaker,27.99,https://purepng.com/public/uploads/large/purepng.com-speakermusic-electronics-sound-speaker-musical-941524661320aaduu.png
7,KimberlysPaige,Tv,899.99,https://banner2.cleanpng.com/20180805/axt/kisspng-4k-resolution-smart-tv-ultra-high-definition-telev-samsung-ua40hu7000r-series-7-led-40-quot-televis-5b670bd6600e31.0914748215334798943935.jpg
8,Adrian,Headphones,229.99,https://pngimg.com/d/headphones_PNG7645.png
9,Prashoke,Keyboard,40.23,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/36a30296-48ab-4d5a-b8fd-16ee9aeb3427/dfxyqmn-90998eb2-ca26-4b90-8db7-8d2f55ab5ee8.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzM2YTMwMjk2LTQ4YWItNGQ1YS1iOGZkLTE2ZWU5YWViMzQyN1wvZGZ4eXFtbi05MDk5OGViMi1jYTI2LTRiOTAtOGRiNy04ZDJmNTVhYjVlZTgucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.C3QhLQ_mu0_uniXZryY4RCvBIyITeyVt4KHXae85bXM
10,Ashoke2,Pear Pad 2,249.99,https://pear-phone.weebly.com/uploads/1/1/3/7/11378184/s498483647505786911_p1_i1_w640.png
11,AJ ,Pear Phone Gx,999.99,"https://static.wixstatic.com/media/3f88b6_852f0d12db844196a7b7e234ed4acd5d.jpg/v1/fit/w_500,h_500,q_90/file.jpg"
12,Bentley,Pear Watch,399.99,https://cdn.mobilesyrup.com/wp-content/uploads/2014/09/kzp2sowigikt1o06yqa7.jpg
13,Tad,Pear Glasses,329.89,https://static01.nyt.com/images/2023/06/05/multimedia/05APPLE-VR-gcmq/05APPLE-VR-gcmq-mediumSquareAt3X.jpg
14,Robert,Drone,370.99,https://png.pngtree.com/png-clipart/20201209/original/pngtree-drone-png-image_5647126.jpg
15,ProfessorWeinstein,VR Goggles,244.99,https://png.pngtree.com/png-clipart/20220502/ourmid/pngtree-vr-glasses-virtual-reality-png-on-transparent-background-png-image_4561332.png
16,Charlie,Camera,325.55,https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTEwL3Jhd3BpeGVsX29mZmljZV8yOF9waG90b19vZl9kaWdpdGFsX2NhbWVyYV9mbGF0X2xheV9pc29sYXRlZF9vbl8zMjMzMDEwNy04N2U0LTQ4YWItODEyZC0wZjkyZjU2M2NlY2FfMS5wbmc.png
17,Lilert,Printer,79.99,https://png.pngtree.com/png-vector/20200706/ourmid/pngtree-black-plastic-office-printer-printing-a-paper-page-png-image_2302044.jpg
18,KimberlysPaige,Pear Pencil,129.29,https://m.media-amazon.com/images/I/51q377sTScL.jpg
19,Adrian,Record Player,219.19,https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTA4L3Jhd3BpeGVsX29mZmljZV8yMF9waG90b19vZl9hX3ZpbnlsX3JlY29yZF9wbHllcl9pc29sYXRlZF9vZmYtd18wZDcwOGM5Mi1jMTYzLTQ0NTgtYjQyNi0zMDMzNjRkZmEwMTgucG5n.png
20,Prashoke,SD card,20.24,https://pics.clipartpng.com/128_GB_Micro_SD_Flash_Memory_Card_PNG_Clip_Art-3210.png
